campaign_name,adset_name,date,spend,impressions,clicks,ctr,purchases,revenue,roas,creative_type,creative_message,audience_type,platform,country
Men ComfortMax Launch,Adset-1 Retarget,2025-01-01,640.09,235597,4313.0,0.0183,80,1514.28,2.37,Image,Breathable organic cotton that moves with you — limited offer on men briefs.,Broad,Facebook,US
Men ComfortMax Launch,Adset-1 Retarget,2025-01-02,373.75,276194,5429.0,0.0197,94,4152.81,11.11,Video,No ride‑up guarantee — best‑selling men briefs back in stock.,Broad,Facebook,US
Men  ComfortMax  Launch,Adset-1 Retarget,2025-01-03,703.79,466572,9830.0,0.0211,240,4893.43,6.95,UGC,Cooling mesh panels for workouts — men boxers you’ll actually love.,Broad,Facebook,US
Men_ComfortMax_Launch,Adset-1 Retarget,2025-01-04,441.5,193230,2424.0,0.0125,61,1330.1,3.01,Image,Cooling mesh panels for workouts — men athletic briefs you’ll actually love.,Lookalike,Facebook,US
Men  ComfortMax  Launch,Adset-1 Retarget,2025-01-05,,404300,6372.0,0.0158,181,7027.2,51.52,Video,Summer‑ready essentials — sweat‑wicking men athletic briefs.,Lookalike,Instagram,IN
Men Comfortmax Launch,Adset-1 Retarget,2025-01-06,579.03,180096,2356.0,0.0131,41,1545.67,2.67,Image,Breathable bamboo that moves with you — limited offer on men boxers.,Lookalike,Instagram,UK
Men Comfortmax Launch,Adset-1 Retarget,2025-01-07,1179.8,251885,4958.0,0.0197,102,3931.2,3.33,Carousel,Cooling mesh panels for workouts — men boxers you’ll actually love.,Broad,Facebook,US
Men Comfortmax Launch,Adset-1 Retarget,2025-01-08,362.78,24912,398.0,0.016,9,238.39,0.66,Image,Invisible under tees — seamless men boxers.,Lookalike,Instagram,UK
Men_ComfortMax_Launch,Adset-1 Retarget,2025-01-09,774.2,138640,3297.0,0.0238,70,1692.43,2.19,UGC,"Wire‑free ease, cloud‑soft cups — men inner vests that fits right.",Broad,Facebook,US
Men_ComfortMax_Launch,Adset-1 Retarget,2025-01-10,986.61,422525,7094.0,0.0168,198,7860.43,7.97,Image,No ride‑up guarantee — best‑selling men trunks back in stock.,Broad,Facebook,US
MEN COMFORTMAX LAUNCH,Adset-1 Retarget,2025-01-11,1198.41,285985,4062.0,0.0142,90,2173.88,1.81,UGC,Seamless confidence for every day — new men athletic briefs.,Broad,Facebook,UK
Men_ComfortMax_Launch,Adset-1 Retarget,2025-01-12,62.54,271459,4223.0,0.0156,72,1529.02,24.45,Carousel,3‑pack deal ends tonight — upgrade your men drawer with athletic briefs.,Broad,Facebook,UK
MEN COMFORTMAX LAUNCH,Adset-1 Retarget,2025-01-13,861.17,176187,3487.0,0.0198,0,2364.53,2.75,Video,Hot & comfy: men briefs now 20% off — feel the difference.,Broad,Facebook,IN
Men ComfortMax Launch,Adset-1 Retarget,2025-01-14,320.85,321658,2925.0,0.0091,66,1446.2,4.51,Video,Seamless confidence for every day — new men athletic briefs.,Broad,Instagram,UK
Men ComfortMax Launch,Adset-1 Retarget,2025-01-15,699.17,134964,2740.0,0.0203,74,1806.8,2.58,Image,Seamless confidence for every day — new men trunks.,Broad,Facebook,UK
MEN COMFORTMAX LAUNCH,Adset-1 Retarget,2025-01-16,338.87,57867,1356.0,0.0234,34,649.43,1.92,UGC,"Push comfort, not wires — everyday men trunks.",Retargeting,Facebook,US
Men_ComfortMax_Launch,Adset-1 Retarget,2025-01-17,575.27,20426,197.0,0.0096,5,177.1,0.31,Video,Hot & comfy: men inner vests now 20% off — feel the difference.,Broad,Facebook,IN
Men ComfortMax Launch,Adset-1 Retarget,2025-01-18,697.57,81860,1228.0,0.015,24,1031.2,1.48,Video,Cooling mesh panels for workouts — men briefs you’ll actually love.,Lookalike,Facebook,US
Men Comfortmax Launch,Adset-1 Retarget,2025-01-19,296.84,347271,6665.0,0.0192,199,6427.81,21.65,UGC,"All‑day comfort, zero pinch — try our men trunks!",Broad,Facebook,US
Men ComfortMax Launch,Adset-1 Retarget,2025-01-20,633.8,333615,5872.0,0.0176,0,3910.48,6.17,Image,Hot & comfy: men inner vests now 20% off — feel the difference.,Broad,Facebook,US
Men Comfortmax Lunch,Adset-1 Retarget,2025-01-21,794.13,338152,6489.0,0.0192,206,4272.38,5.38,Video,"Push comfort, not wires — everyday men boxers.",Retargeting,Facebook,US
Men Comfortmax Launch,Adset-1 Retarget,2025-01-22,536.57,373787,4697.0,0.0126,133,4726.83,8.81,Video,Breathable microfiber that moves with you — limited offer on men inner vests.,Lookalike,Instagram,US
men co fortmax launch,Adset-1 Retarget,2025-01-23,825.98,300700,4489.0,0.0149,90,2264.44,2.74,Video,"All‑day comfort, zero pinch — try our men inner vests!",Broad,Facebook,US
Men  ComfortMax  Launch,Adset-1 Retarget,2025-01-24,445.9,305067,,0.0175,177,4527.81,10.15,UGC,No ride‑up guarantee — best‑selling men briefs back in stock.,Retargeting,Facebook,US
Men Comfortmax Launch,Adset-1 Retarget,2025-01-25,567.53,489752,7933.0,0.0162,225,9903.99,17.45,UGC,"Ultra‑soft waistband, no marks — premium men inner vests.",Broad,Instagram,US
Men ComfortMax Launch,Adset-1 Retarget,2025-01-26,796.36,98102,1600.0,0.0163,39,,1.64,Image,3‑pack deal ends tonight — upgrade your men drawer with athletic briefs.,Broad,Instagram,IN
Men_ComfortMax_Launch,Adset-1 Retarget,2025-01-27,455.36,83162,1179.0,0.0142,29,1067.76,2.34,Video,3‑pack deal ends tonight — upgrade your men drawer with briefs.,Broad,Instagram,IN
Men ComfortMax Launch,Adset-1 Retarget,2025-01-28,1398.53,423537,8159.0,0.0193,213,8425.0,6.02,Video,Seamless confidence for every day — new men athletic briefs.,Broad,Facebook,US
Men ComfortMax Launch,Adset-1 Retarget,2025-01-29,715.8,416262,6086.0,0.0146,166,4671.36,6.53,Carousel,"All‑day comfort, zero pinch — try our men inner vests!",Broad,Facebook,IN
Men ComfortMax Lunch,Adset-1 Retarget,2025-01-30,,157562,2038.0,0.0129,55,1178.68,2.68,Image,No ride‑up guarantee — best‑selling men athletic briefs back in stock.,Retargeting,Facebook,IN
Men ComfortMax Launch,Adset-1 Retarget,2025-01-31,,121637,1530.0,0.0126,38,737.03,0.67,Video,3‑pack deal ends tonight — upgrade your men drawer with athletic briefs.,Broad,Facebook,US
Men_ComfortMax_Launch,Adset-1 Retarget,2025-02-01,783.06,507732,12757.0,0.0251,179,7065.13,9.02,Image,Invisible under tees — seamless men inner vests.,Broad,Facebook,US
men comfortmax launch,Adset-1 Retarget,2025-02-02,358.02,51855,1048.0,0.0202,29,842.21,2.35,UGC,"All‑day comfort, zero pinch — try our men inner vests!",Broad,Facebook,US
Men Comfortmax Launch,Adset-1 Retarget,2025-02-03,742.66,375014,6447.0,0.0172,114,4991.08,6.72,UGC,Confidence starts inside — elevate with men athletic briefs.,Broad,Facebook,US
Men  ComfortMax  Launch,Adset-1 Retarget,2025-02-04,519.58,322754,2881.0,0.0089,61,1684.29,3.24,Video,Confidence starts inside — elevate with men inner vests.,Broad,Facebook,UK
Men_ComfortMax_Launch,Adset-1 Retarget,2025-02-05,350.47,252523,5734.0,0.0227,129,3709.99,10.59,Image,"Ultra‑soft waistband, no marks — premium men boxers.",Broad,Facebook,UK
Men Comfortmax Launch,Adset-1 Retarget,2025-02-06,586.48,35014,828.0,0.0236,14,442.19,0.75,Video,Summer‑ready essentials — sweat‑wicking men briefs.,Lookalike,Facebook,US
MEN COMFORTMAX LAUNCH,Adset-1 Retarget,2025-02-07,110.27,25467,500.0,0.0196,12,341.77,3.1,Image,Seamless confidence for every day — new men boxers.,Broad,Instagram,US
Men  ComfortMax  Launch,Adset-1 Retarget,2025-02-08,442.85,490264,7530.0,0.0154,181,4214.83,9.52,Video,"Wire‑free ease, cloud‑soft cups — men inner vests that fits right.",Lookalike,Instagram,IN
Men  ComfortMax  Launch,Adset-1 Retarget,2025-02-09,702.25,23822,,0.0163,8,169.52,0.24,Image,Hot & comfy: men briefs now 20% off — feel the difference.,Broad,Facebook,IN
Men  ComfortMax  Launch,Adset-1 Retarget,2025-02-10,409.48,385416,5036.0,0.0131,135,5165.99,12.62,Image,"Ultra‑soft waistband, no marks — premium men trunks.",Lookalike,Instagram,UK
MEN COMFORTMAX LAUNCH,Adset-1 Retarget,2025-02-11,534.52,484824,6728.0,0.0139,152,5817.57,10.88,Image,"Push comfort, not wires — everyday men briefs.",Broad,Facebook,US
men comfortmax launch,Adset-1 Retarget,2025-02-12,165.23,268668,3995.0,0.0149,117,3335.49,20.19,Carousel,Breathable cotton that moves with you — limited offer on men inner vests.,Broad,Instagram,US
Men ComfortMax Launch,Adset-1 Retarget,2025-02-13,525.62,332973,5363.0,0.0161,125,4519.75,8.6,Video,Hot & comfy: men boxers now 20% off — feel the difference.,Retargeting,Facebook,US
Men Comfortmax Launch,Adset-1 Retarget,2025-02-14,666.54,263165,4437.0,0.0169,117,3214.54,4.82,UGC,No ride‑up guarantee — best‑selling men briefs back in stock.,Retargeting,Instagram,US
Men Comfortmax Lau ch,Adset-1 Retarget,2025-02-15,165.12,368092,8592.0,0.0233,184,3733.47,22.61,UGC,Confidence starts inside — elevate with men inner vests.,Lookalike,Facebook,US
Men_ComfortMax_Launch,Adset-1 Retarget,2025-02-16,158.58,424902,5749.0,0.0135,202,7874.56,49.66,UGC,Invisible under tees — seamless men briefs.,Retargeting,Facebook,IN
men comfortmax launch,Adset-1 Retarget,2025-02-17,88.08,250079,4639.0,0.0186,130,4958.62,56.3,Carousel,"Push comfort, not wires — everyday men trunks.",Retargeting,Instagram,IN
Men Comfortmax Launch,Adset-1 Retarget,2025-02-18,1101.81,453248,6686.0,0.0148,185,8171.67,7.42,Image,Seamless confidence for every day — new men athletic briefs.,Retargeting,Instagram,IN
Men ComfortMax Launch,Adset-1 Retarget,2025-02-19,497.0,330799,6566.0,0.0198,182,3499.32,7.04,Image,Cooling mesh panels for workouts — men briefs you’ll actually love.,Broad,Facebook,US
Men ComfortMax Launch,Adset-1 Retarget,2025-02-20,1199.51,243473,2439.0,0.01,65,1983.79,1.65,UGC,Seamless confidence for every day — new men boxers.,Broad,Instagram,IN
men comfortmax launch,Adset-1 Retarget,2025-02-21,1482.76,512995,5407.0,0.0105,136,3584.59,2.42,Carousel,Summer‑ready essentials — sweat‑wicking men athletic briefs.,Broad,Facebook,UK
Men Comfortmax Launch,Adset-1 Retarget,2025-02-22,708.5,474751,7697.0,0.0162,234,10104.98,14.26,Image,Summer‑ready essentials — sweat‑wicking men athletic briefs.,Broad,Instagram,IN
men comfortmax launch,Adset-1 Retarget,2025-02-23,787.64,205492,3220.0,0.0157,103,3007.61,3.82,UGC,"Wire‑free ease, cloud‑soft cups — men inner vests that fits right.",Retargeting,Instagram,US
Men Comfortmax Launch,Adset-1 Retarget,2025-02-24,114.13,424953,9199.0,0.0216,241,9866.66,86.45,Image,Hot & comfy: men trunks now 20% off — feel the difference.,Lookalike,Instagram,US
Men  ComfortMax  Launch,Adset-1 Retarget,2025-02-25,1133.47,128150,1303.0,0.0102,22,463.45,0.41,Carousel,Doctors recommend breathable organic cotton — meet our men boxers.,Broad,Instagram,UK
Men_ComfortMax_Launch,Adset-1 Retarget,2025-02-26,403.59,276243,4744.0,0.0172,139,5792.08,14.35,Image,Doctors recommend breathable organic cotton — meet our men athletic briefs.,Broad,Instagram,US
Men_ComfortMax_Launch,Adset-1 Retarget,2025-02-27,442.19,369672,5810.0,0.0157,161,4603.08,10.41,Video,Seamless confidence for every day — new men boxers.,Lookalike,Instagram,US
Men ComfortMax Launch,Adset-1 Retarget,2025-02-28,1066.9,188913,3834.0,0.0203,92,2641.01,2.48,Video,Hot & comfy: men boxers now 20% off — feel the difference.,Lookalike,Facebook,IN
Men Comfortmax Launch,Adset-1 Retarget,2025-03-01,227.86,482706,9447.0,0.0196,147,4468.31,19.61,Carousel,3‑pack deal ends tonight — upgrade your men drawer with briefs.,Broad,Facebook,US
Men ComfortMax Launch,Adset-1 Retarget,2025-03-02,359.74,333767,3270.0,0.0098,73,1566.38,4.35,Video,"Push comfort, not wires — everyday men briefs.",Broad,Instagram,US
men comfortmax launch,Adset-1 Retarget,2025-03-03,510.75,351119,7074.0,0.0201,177,4031.93,7.89,Video,No ride‑up guarantee — best‑selling men briefs back in stock.,Retargeting,Facebook,US
Men ComfortMax Launch,Adset-1 Retarget,2025-03-04,177.87,116817,1161.0,0.0099,15,285.92,1.61,Video,Cooling mesh panels for workouts — men inner vests you’ll actually love.,Broad,Instagram,US
Men Comfortmax Launch,Adset-1 Retarget,2025-03-05,924.67,43027,754.0,0.0175,20,459.64,0.5,UGC,Seamless confidence for every day — new men athletic briefs.,Broad,Instagram,IN
Men  ComfortMax  Launch,Adset-1 Retarget,2025-03-06,517.86,326073,2329.0,0.0071,32,607.69,1.17,Video,Breathable microfiber that moves with you — limited offer on men trunks.,Broad,Instagram,IN
Men ComfortMax Launch,Adset-1 Retarget,2025-03-07,393.73,282313,2378.0,0.0084,55,1780.94,4.52,Video,No ride‑up guarantee — best‑selling men boxers back in stock.,Broad,Facebook,US
Men ComfortMax Launch,Adset-1 Retarget,2025-03-08,316.12,203660,1656.0,0.0081,31,658.24,2.08,Video,3‑pack deal ends tonight — upgrade your men drawer with inner vests.,Broad,Facebook,UK
Men ComfortMax Launch,Adset-1 Retarget,2025-03-09,622.04,265208,4892.0,0.0184,117,3959.83,6.37,Carousel,3‑pack deal ends tonight — upgrade your men drawer with briefs.,Broad,Facebook,IN
Men Comfortmax Launch,Adset-1 Retarget,2025-03-10,193.05,76810,546.0,0.0071,9,318.96,1.65,Video,Invisible under tees — seamless men athletic briefs.,Broad,Facebook,IN
MEN COMFORTMAX LAUNCH,Adset-1 Retarget,2025-03-11,437.17,63705,1257.0,0.0197,25,575.93,1.32,Image,Invisible under tees — seamless men trunks.,Broad,Instagram,US
Men ComfortMax Launch,Adset-1 Retarget,2025-03-12,183.19,278451,4144.0,0.0149,112,4947.68,27.01,Video,Doctors recommend breathable organic cotton — meet our men athletic briefs.,Retargeting,Instagram,IN
Men_ComfortMax_Launch,Adset-1 Retarget,2025-03-13,261.5,351670,3262.0,0.0093,79,2641.25,10.1,Video,3‑pack deal ends tonight — upgrade your men drawer with briefs.,Broad,Facebook,UK
men comfortmax launch,Adset-1 Retarget,2025-03-14,596.19,107018,1665.0,0.0156,25,792.64,1.33,UGC,Seamless confidence for every day — new men trunks.,Broad,Facebook,US
men comfortmax launch,Adset-1 Retarget,2025-03-15,300.15,90416,1410.0,0.0156,29,785.56,2.62,UGC,"Wire‑free ease, cloud‑soft cups — men trunks that fits right.",Broad,Instagram,US
Men Comfortmax Launch,Adset-1 Retarget,2025-03-16,84.69,175755,2412.0,0.0137,84,,38.21,Image,Hot & comfy: men briefs now 20% off — feel the difference.,Retargeting,Facebook,IN
Men_ComfortMax_Launch,Adset-1 Retarget,2025-03-17,328.12,484200,13216.0,0.0273,335,14517.29,44.24,UGC,"Push comfort, not wires — everyday men athletic briefs.",Broad,Facebook,US
Men ComfortMax Launch,Adset-1 Retarget,2025-03-18,99.02,303832,4900.0,0.0161,155,3633.81,36.7,Carousel,Breathable bamboo that moves with you — limited offer on men boxers.,Retargeting,Facebook,UK
Men Comfortmax Launch,Adset-1 Retarget,2025-03-19,378.57,457617,6404.0,0.014,114,3476.13,9.18,Video,Doctors recommend breathable cotton — meet our men boxers.,Retargeting,Instagram,UK
Men ComfortMax Launch,Adset-1 Retarget,2025-03-20,914.33,267381,2353.0,0.0088,53,1503.35,1.64,Video,"Push comfort, not wires — everyday men briefs.",Broad,Facebook,UK
Men Comfort-ax Launch,Adset-1 Retarget,2025-03-21,170.95,330875,5601.0,0.0169,139,4829.13,28.25,Image,Stretch that snaps back — durable men trunks.,Lookalike,Instagram,US
MEN COMFORTMAX LAUNCH,Adset-1 Retarget,2025-03-22,589.11,170354,3299.0,0.0194,75,2893.98,4.91,Video,3‑pack deal ends tonight — upgrade your men drawer with athletic briefs.,Retargeting,Instagram,US
Men  ComfortMax  Launch,Adset-1 Retarget,2025-03-23,97.95,213821,3726.0,0.0174,128,4792.45,48.93,Carousel,Stretch that snaps back — durable men athletic briefs.,Retargeting,Instagram,UK
